D000077142	Malvales	B01.875.800.575.912.250.859.821	41938
D000077148	Myrtales	B01.875.800.575.912.250.859.833	41944
D000077262	Ciona	B01.050.150.200.727.150,B01.050.500.272.727.150	7718
D000078062	Leucanthemum	B01.875.800.575.912.250.100.503	99071
D000078065	Aegilops	B01.875.800.575.912.250.822.017	4480
D000079542	Tithonia	B01.875.800.575.912.250.100.906	105386
D000079543	Ligularia	B01.875.800.575.912.250.100.508	4239
D000079584	Actinoplanes	B03.300.390.400.500.250,B03.510.024.925.250,B03.510.415.400.500.250,B03.510.460.410.500.250	1865
D000079702	Pomegranate	B01.875.800.575.912.250.859.833.500.625	22663
D000079883	Securinega	B01.875.800.575.912.250.859.797.438.781	300951
D000080054	Pinales	B01.875.800.575.912.625	1446380
D000080056	Araucariaceae	B01.875.800.575.912.625.500	25664
D000080057	Araucaria	B01.875.800.575.912.625.500.500	25666
D000080059	Araucaria araucana	B01.875.800.575.912.625.500.500.250	42754
D000080522	Sapajus apella	B01.050.150.900.649.313.988.400.600.150.170.560.500	9515
D000080523	Sapajus	B01.050.150.900.649.313.988.400.600.150.170.560	1532884
D000080526	Cebus capucinus	B01.050.150.900.649.313.988.400.600.150.170.120.500	9516
D000080527	Macaca fuscata	B01.050.150.900.649.313.988.400.112.199.120.510.535	9542
D000080531	Macaca arctoides	B01.050.150.900.649.313.988.400.112.199.120.510.260	9540
D000080532	Alouatta caraya	B01.050.150.900.649.313.988.400.600.075.050.075.500	9502
D000080544	Indriidae	B01.050.150.900.649.313.988.700.354	30599
D000080583	Ateles geoffroyi	B01.050.150.900.649.313.988.400.600.075.075.500	9509
D000080602	Callicebus	B01.050.150.900.649.313.988.400.600.575.500	9522
D000080623	Galagidae	B01.050.150.900.649.313.988.700.277	40297
D000081342	Nudiviridae	B04.280.543,B04.525.573	1511852
D000082403	Actinomadura	B03.510.024.049.025	1988
D000082502	Amycolatopsis	B03.510.024.049.075	1813
D000082623	Caldicellulosiruptor	B03.353.563	44000
D000082682	Clostridioides	B03.353.625.657	1870884
D000082762	Amblyomma	B01.050.500.131.166.132.832.400.100	6942
D000082763	Rhizopus oryzae	B01.300.300.500.800.500	64495
D000082942	Dehalococcoides	B03.275.575	61434
D000082982	Toona	B01.875.800.575.912.250.715.750	67917
D000083042	Dickeya	B03.660.250.139	204037
D000083582	Lyngbya	B03.280.355,B03.440.475.100.355	28073
D000083802	Chilopoda	B01.050.500.131.266	7540
D000083822	Microbacterium	B03.510.024.775,B03.510.460.400.400.049.775	33882
D000083962	Nocardioides	B03.510.024.986,B03.510.460.400.400.049.887	1839
D000084162	Orientia	B03.660.050.783.875.650.450	69474
D000084242	Phormidium	B03.280.631,B03.440.475.100.631	1198
D000084382	Pseudonocardia	B03.510.024.993,B03.510.460.400.400.049.943	1847
D000084402	Renibacterium	B03.510.024.850.750,B03.510.400.500.750	1645
D000084422	Tannerella	B03.440.080.850	195950
D000084442	Thermomonospora	B03.510.460.400.400.049.971	2019
D000084444	Thermotoga	B03.440.425.410.748	2335
D000084642	Fungal Genus Humicola	B01.300.107.800.390	5526
D000084643	Puccinia	B01.300.179.487	5296
D000084644	Aureobasidium	B01.300.107.160	5579
D000084662	Batrachochytrium	B01.300.283.500	100474
D000084682	Phellinus	B01.300.179.115	40470
D000084702	Curvularia	B01.300.107.240,B01.300.381.279	5502
D000084723	Phoma	B01.300.107.700	37463
D000084724	Mycosphaerella	B01.300.107.613	41254
D000084725	Phomopsis	B01.300.107.708	34399
D000084727	Bipolaris	B01.300.107.200,B01.300.381.114	33194
D000084744	Leptosphaeria	B01.300.107.538	5021
D000084745	Erysiphe	B01.300.107.280	5121
D000084822	Auricularia	B01.300.179.105	5230
D000084823	Cercospora	B01.300.107.220	29002
D000084824	Hericium	B01.300.179.108	40459
D000084825	Fonsecaea	B01.300.107.411	40354
D000084827	Inonotus	B01.300.179.109	40468
D000084828	Fungal Genus Venturia	B01.300.107.456	5024
D000084842	Pestalotiopsis	B01.300.107.950.500,B01.300.381.684	37840
D000084843	Ceratocystis	B01.300.107.210	5157
D000085686	Deltacoronavirus	B04.820.578.500.540.150.257	1159901
D000086102	Akkermansia	B03.440.930.500	239934
D000086122	Double Stranded RNA Viruses	B04.820.223	35325
D000086142	Aquifex	B03.440.025	2713
D000086162	Clavibacter	B03.510.024.232,B03.510.460.400.400.049.663	1573
D000086182	Dermatophilus	B03.510.024.288,B03.510.460.400.400.049.719	1862
D000086183	Exiguobacterium	B03.353.500.100.309	33986
D000086202	Liberibacter	B03.660.050.662.347	34019
D000086222	Mediterranea	B03.440.080.094.389	1926659
D000086242	Neglecta	B03.353.625.774	1924105
D000086262	Nocardiopsis	B03.510.024.988,B03.510.460.400.400.049.915	2013
D000086282	Pannus	B03.280.622,B03.440.475.100.622	1427526
D000086302	Planktothrix	B03.280.641,B03.440.475.100.641	54304
D000086322	Rappaport	B03.660.250.080.775	1955421
D000086323	Sorangium	B03.660.125.500.658	39643
D000086324	Thermobifida	B03.510.460.400.400.049.957	83677
D000086325	Thermosynechococcus	B03.280.813,B03.440.475.100.813	146785
D000086326	Xylophilus	B03.660.075.090.941	54066
D000086402	SARS-CoV-2	B04.820.578.500.540.150.113.937.500	2697049
D000086542	Calliphoridae	B01.050.500.131.617.720.500.500.750.155	7371
D000086642	Pangolins	B01.050.150.900.649.313.976	9971
D000087082	Pegivirus	B04.820.578.344.588	1307799
D000088063	Candida auris	B01.300.107.795.095.363	498019
D000089002	Andrographis paniculata	B01.875.800.575.912.250.583.040.044.500	175694
D000089003	Brucea javanica	B01.875.800.575.912.250.898.111.500	210348
D000089042	Coptis chinensis	B01.875.800.575.912.250.836.750.229.500	261450
D000089945	Salvia hispanica	B01.875.800.575.912.250.583.520.922.375	49212
D000089962	Reynoutria	B01.875.800.575.912.250.825.569	655516
D000089963	Besnoitia	B01.043.075.189.250.750.275	94642
D000090643	Planctomycetes	B03.440.619	203682
D000091	Acetobacter	B03.440.400.425.100.100,B03.660.050.755.050.010	434
D000091122	Afrotheria	B01.050.150.900.649.313.250	311790
D000091123	Orycteropodidae	B01.050.150.900.649.313.250.125	9815
D000091124	Tenrecidae	B01.050.150.900.649.313.250.875	9369
D000091142	Vermilingua	B01.050.150.900.649.313.999.475	948952
D000091322	Centaurea benedicta	B01.875.800.575.912.250.100.188.500	50282
D000092664	Sigesbeckia	B01.875.800.575.912.250.100.808	183075
D000093382	Schinus	B01.875.800.575.912.250.044.686	43850
D000093782	Lysimachia	B01.875.800.575.912.250.341.984.690	59977
D000093845	Sophora flavescens	B01.875.800.575.912.250.401.734.500	49840
D000093846	Sophora japonica	B01.875.800.575.912.250.401.734.750	3897
D000094302	Human Papillomavirus Viruses	B04.280.210.655.450,B04.613.204.655.450	10566
D000127	Acholeplasma	B03.440.860.074.150	2147
D000128	Acholeplasma laidlawii	B03.440.860.074.150.500	2148
D000129	Acholeplasmataceae	B03.440.860.074	2146
D000150	Acinetobacter	B03.440.400.425.537.050,B03.660.250.530.050	469
D000164	Acremonium	B01.300.381.025	5043
D000188	Actinobacillus	B03.440.450.009,B03.660.250.550.050	713
D000190	Actinomyces	B03.510.024.049.050.050,B03.510.460.400.400.049.049.178	1654
D000191	Actinomycetaceae	B03.510.024.049.050,B03.510.460.400.400.049.049	2049
D000192	Actinomycetales	B03.510.024.049	2037
D000229	Dependovirus	B04.280.580.650.170	10803
D000256	Adenoviridae	B04.280.030	10508
D000259	Aviadenovirus	B04.280.030.100	10552
D000330	Aedes	B01.050.500.131.617.720.500.500.750.712.500.875.100	7158
D000333	Aeromonas	B03.440.450.019.025	642
D000356	African Horse Sickness Virus	B04.820.223.719.550.050	40050
D000358	African Swine Fever Virus	B04.280.049.035	10497
D000363	Agaricales	B01.300.179.100	5338
D000364	Agaricus	B01.300.179.100.105	5340
D000406	AKR murine leukemia virus	B04.613.807.375.525.050,B04.820.650.375.525.050	11791
D000421	Alcaligenes	B03.440.400.425.115.050,B03.660.075.090.344.050	507
D000454	Aleutian Mink Disease Virus	B04.280.580.650.040.050	28314
D000455	Medicago sativa	B01.875.800.575.912.250.401.590.500	3879
D000458	Cyanobacteria	B03.280,B03.440.475.100	1117
D000459	Phaeophyta	B01.750.600	2870
D000460	Chlorophyta	B01.875.150	3041
D000461	Rhodophyta	B01.715	2763
D000490	Allium	B01.875.800.575.912.250.618.100.050.060	4678
D000504	Aloe	B01.875.800.575.912.250.618.100.970.500	25641
D000508	Alouatta	B01.050.150.900.649.313.988.400.600.075.050.075	9499
D000524	Alphavirus	B04.820.578.875.054	11019
D000528	Alternaria	B01.300.381.075	5598
D000545	Amanita	B01.300.179.100.110	41955
D000557	Ambystoma	B01.050.150.900.090.608.080.068	8295
D000558	Ambystoma mexicanum	B01.050.150.900.090.608.080.068.525	8296
D000559	Ambystomatidae	B01.050.150.900.090.608.080	8294
D000656	Amoeba	B01.046.500.100.700.089	5774
D000663	Amphibians	B01.050.150.900.090	8292
D000709	Anaplasma	B03.440.664.750.050,B03.660.050.783.500.050	768
